plot_id,latitude,longitude,biomass_per_ha,canopy_height,ndvi_mean,sar_vv,sar_vh
ORNL_001,35.930248,-84.270109,224.599793456021,25.4,0.7377377377377378,-9.355001279570356,-14.391521540821175
ORNL_002,35.982199,-84.212753,175.387354067234,25.9,0.8577140953015662,-7.432823198984374,-13.156969331789286
ORNL_003,35.965875,-84.230646,147.034564783377,29.7,0.8226520242583183,-8.292606133592242,-13.950266793214938
ORNL_004,35.907944,-84.275214,251.557368469892,29.0,0.83867341202923,-6.690141757798157,-13.262842376689509
ORNL_006,35.938227,-84.32368,169.533127090484,28.2,0.8335766423357664,-7.5020490212855595,-13.235417494157018
ORNL_007,35.925371,-84.329755,170.820782599145,30.4,0.7671068427370948,-9.9234493480481,-14.411143971550032
ORNL_008,35.93276,-84.332543,163.681197040429,27.8,0.7888631090487239,-7.965442674988099,-14.352669115609427
ORNL_009,35.974464,-84.227994,272.587563673238,24.0,0.7548017981201471,-4.063963300482735,-11.104589983895096
ORNL_010,35.953307,-84.332168,231.031345230331,25.2,0.7223778400248988,-8.351886178606929,-13.56211432219992
ORNL_012,35.953019,-84.248359,308.691471476091,32.5,0.8518619934282585,-10.482554126158519,-15.773350001106458
ORNL_014,35.939979,-84.305649,172.292187727967,28.3,0.8434782608695652,-7.752958062388762,-13.919366819798224
ORNL_027,35.916313,-84.263286,109.395016679737,18.8,0.798259317116715,-10.671325870770374,-15.713109686473906
ORNL_029,35.95765,-84.261843,90.6610581580517,15.0,0.7506621263715475,-7.160890890145344,-12.97484051545593
ORNL_032,35.944516,-84.326492,178.996284773218,21.1,0.7603174603174603,-11.077882535489842,-15.778631479705176
ORNL_033,35.96172,-84.2268,93.6943591275199,15.7,0.7655236329935126,-8.82104737002765,-13.689514483580606
ORNL_035,35.974774,-84.350392,102.454075260312,18.1,0.7903780068728522,-10.116486638017113,-15.629607384540865
ORNL_036,35.965429,-84.28419,215.59228544249,37.7,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_036,35.965429,-84.28419,554.203489435556,38.1,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_036,35.965429,-84.28419,208.46785778319,37.5,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_036,35.965429,-84.28419,508.204909933784,37.5,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_036,35.965429,-84.28419,216.255596048686,37.5,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_036,35.965429,-84.28419,577.790036342811,38.4,0.854006968641115,-10.291087509807028,-16.06220635551262
ORNL_037,35.963215,-84.281617,244.541585563406,28.3,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_037,35.963215,-84.281617,176.967205181701,28.6,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_037,35.963215,-84.281617,239.165838593942,28.1,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_037,35.963215,-84.281617,172.197264268604,29.4,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_037,35.963215,-84.281617,254.72668565803,29.2,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_037,35.963215,-84.281617,182.89936644379,28.6,0.8472167390446111,-10.06231328042926,-15.622300405198065
ORNL_043,35.963926,-84.287233,177.939284963269,29.1,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_043,35.963926,-84.287233,464.614374136254,30.7,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_043,35.963926,-84.287233,173.415086063151,28.9,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_043,35.963926,-84.287233,448.234739936159,30.2,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_043,35.963926,-84.287233,174.795068858366,29.5,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_043,35.963926,-84.287233,481.012588128125,31.2,0.8472630959387876,-6.232384986717894,-12.800273141143359
ORNL_045,35.966285,-84.283823,228.973389065265,28.4,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_045,35.966285,-84.283823,278.280357985925,29.8,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_045,35.966285,-84.283823,225.960615824879,28.9,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_045,35.966285,-84.283823,276.62509133312,30.3,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_045,35.966285,-84.283823,232.741186662616,29.4,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_045,35.966285,-84.283823,281.571540040588,30.2,0.8653930933137399,-6.223827231963877,-12.414366587665203
ORNL_046,35.964418,-84.285882,199.065509642257,30.3,0.8536374133949192,-7.985754999330162,-14.710377533753313
ORNL_046,35.964418,-84.285882,334.971235176279,31.7,0.8536374133949192,-7.985754999330162,-14.710377533753313
ORNL_046,35.964418,-84.285882,192.270194599511,28.4,0.8536374133949192,-7.985754999330162,-14.710377533753313
